busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd
2022-03-16,2022,3,16,1123074,3208,2,0,13,0
2022-03-16,2022,3,16,1123073,3416,2,0,4,0
2022-03-16,2022,3,16,1123072,7706,2,0,20,0
2022-03-16,2022,3,16,1123053,12661,2,0,54,0
2022-03-16,2022,3,16,1123080,5806,2,0,17,0
2022-03-17,2022,3,17,1123053,12698,3,0,54,0
2022-03-17,2022,3,17,1123080,5758,3,0,20,0
2022-03-17,2022,3,17,1123071,5995,3,0,4,0
2022-03-17,2022,3,17,1123065,16246,3,0,65,0
2022-03-17,2022,3,17,1123051,11625,3,0,57,0
2022-03-17,2022,3,17,1123076,15205,3,0,31,0
2022-03-17,2022,3,17,1123068,4106,3,0,3,0
2022-03-17,2022,3,17,1123066,11840,3,0,58,0
2022-03-17,2022,3,17,1123064,38056,3,0,398,0
2022-03-17,2022,3,17,1123063,11589,3,0,77,0
2022-03-17,2022,3,17,1123060,11805,3,0,96,0
2022-03-17,2022,3,17,1123058,20837,3,0,115,0
2022-03-17,2022,3,17,1123052,18013,3,0,186,0
2022-03-17,2022,3,17,1123067,7474,3,0,34,0
2022-03-17,2022,3,17,1123059,12135,3,0,58,0
2022-03-17,2022,3,17,1123079,16637,3,0,105,0
2022-03-17,2022,3,17,1123078,18979,3,0,130,0
2022-03-17,2022,3,17,1123077,20266,3,0,123,0
2022-03-17,2022,3,17,1123075,13126,3,0,60,0
2022-03-17,2022,3,17,1123074,3303,3,0,10,0
2022-03-17,2022,3,17,1123073,3456,3,0,8,0
2022-03-17,2022,3,17,1123072,7712,3,0,28,0
2022-03-18,2022,3,18,1123053,12786,4,0,53,0
2022-03-18,2022,3,18,1123080,6050,4,0,17,0
2022-03-18,2022,3,18,1123071,6205,4,0,5,0
2022-03-18,2022,3,18,1123065,16225,4,0,78,0
2022-03-18,2022,3,18,1123051,12560,4,0,72,0
2022-03-18,2022,3,18,1123076,15764,4,0,38,0
