구별,동별,소계,남자,여자
관악구,행운동,"29,569","14,299","15,270"
관악구,낙성대동,"17,606","8,792","8,814"
관악구,중앙동,"15,681","7,499","8,182"
관악구,인헌동,"26,237","12,717","13,520"
관악구,남현동,"18,259","8,793","9,466"
관악구,서원동,"23,435","12,095","11,340"
관악구,신원동,"18,752","9,450","9,302"
관악구,서림동,"23,849","13,056","10,793"
관악구,신사동,"24,955","12,468","12,487"
관악구,신림동,"23,515","12,360","11,155"
관악구,난향동,"15,332","7,495","7,837"
관악구,조원동,"18,874","9,508","9,366"
관악구,대학동,"25,186","14,855","10,331"
관악구,은천동,"33,540","16,357","17,183"
관악구,성현동,"29,161","14,053","15,108"
관악구,청룡동,"36,789","17,647","19,142"
관악구,난곡동,"27,104","13,576","13,528"
관악구,삼성동,"21,393","10,673","10,720"
관악구,미성동,"31,037","15,203","15,834"
서초구,서초1동,"20,815","10,013","10,802"
서초구,서초2동,"26,878","12,849","14,029"
서초구,서초3동,"32,700","15,641","17,059"
서초구,서초4동,"30,936","15,099","15,837"
서초구,잠원동,"26,853","12,905","13,948"
서초구,반포본동,696,330,366
서초구,반포1동,"34,894","16,929","17,965"
서초구,반포2동,"15,858","7,543","8,315"
서초구,반포3동,"22,155","10,535","11,620"
서초구,반포4동,"19,791","9,337","10,454"
서초구,방배본동,"20,995","9,704","11,291"
서초구,방배1동,"16,944","7,941","9,003"
서초구,방배2동,"18,992","8,906","10,086"
서초구,방배3동,"18,802","9,087","9,715"
서초구,방배4동,"23,700","10,784","12,916"
서초구,양재1동,"43,152","20,619","22,533"
서초구,양재2동,"22,037","10,995","11,042"
서초구,내곡동,"17,479","8,448","9,031"
강남구,신사동,"16,116","7,479","8,637"
강남구,논현1동,"22,583","10,604","11,979"
강남구,논현2동,"21,300","9,946","11,354"
강남구,삼성1동,"13,059","6,467","6,592"
강남구,삼성2동,"31,130","14,934","16,196"
강남구,대치1동,"24,031","12,059","11,972"
강남구,대치4동,"19,914","9,409","10,505"
강남구,역삼1동,"36,431","17,668","18,763"
강남구,역삼2동,"36,288","17,020","19,268"
강남구,도곡1동,"21,566","10,219","11,347"
강남구,도곡2동,"33,140","15,425","17,715"
강남구,개포1동,"6,982","3,388","3,594"
강남구,개포4동,"23,790","11,498","12,292"
강남구,일원본동,"23,172","11,455","11,717"
강남구,일원1동,"15,180","7,395","7,785"
강남구,일원2동,"17,563","8,488","9,075"
강남구,수서동,"14,726","6,662","8,064"
강남구,세곡동,"43,213","20,356","22,857"
강남구,압구정동,"26,315","12,204","14,111"
강남구,청담동,"25,723","12,032","13,691"
강남구,대치2동,"36,876","18,679","18,197"
강남구,개포2동,"28,240","13,709","14,531"
송파구,풍납1동,"13,298","6,522","6,776"
송파구,풍납2동,"24,856","11,792","13,064"
송파구,거여1동,"12,454","6,260","6,194"
송파구,거여2동,"22,819","11,211","11,608"
송파구,마천1동,"18,909","9,649","9,260"
송파구,마천2동,"18,597","9,476","9,121"
송파구,방이1동,"15,662","7,564","8,098"
송파구,방이2동,"26,971","12,506","14,465"
송파구,오륜동,"17,944","8,755","9,189"
송파구,오금동,"38,366","18,613","19,753"
송파구,송파1동,"24,135","11,285","12,850"
송파구,송파2동,"19,279","9,290","9,989"
송파구,석촌동,"32,025","15,239","16,786"
송파구,삼전동,"30,441","14,232","16,209"
송파구,가락본동,"26,317","13,039","13,278"
송파구,가락1동,"27,548","13,356","14,192"
송파구,가락2동,"31,946","15,634","16,312"
송파구,문정1동,"20,125","9,955","10,170"
송파구,문정2동,"29,061","13,293","15,768"
송파구,잠실본동,"28,386","13,504","14,882"
송파구,잠실4동,"21,362","10,269","11,093"
송파구,잠실6동,"16,870","8,004","8,866"
송파구,잠실7동,"9,536","4,444","5,092"
송파구,잠실2동,"34,989","16,724","18,265"
송파구,잠실3동,"34,347","16,379","17,968"
송파구,장지동,"29,471","14,225","15,246"
송파구,위례동,"42,547","20,743","21,804"
강동구,강일동,"32,947","15,789","17,158"
강동구,명일1동,"25,884","12,593","13,291"
강동구,명일2동,"17,520","8,573","8,947"
강동구,고덕1동,"24,074","12,268","11,806"
강동구,고덕2동,"22,545","11,380","11,165"
강동구,암사2동,"15,201","7,351","7,850"
강동구,암사3동,"17,838","8,746","9,092"
강동구,천호1동,"26,920","13,185","13,735"
강동구,천호3동,"26,845","13,044","13,801"
강동구,성내1동,"20,068","9,652","10,416"
강동구,성내2동,"23,973","11,802","12,171"
강동구,성내3동,"23,235","11,359","11,876"
강동구,둔촌1동,143,79,64
강동구,둔촌2동,"24,641","12,123","12,518"
강동구,암사1동,"34,643","17,157","17,486"
강동구,천호2동,"33,671","16,467","17,204"
강동구,길동,"45,863","22,374","23,489"
강동구,상일1동,"38,832","19,137","19,695"
강동구,상일2동,"10,254","4,812","5,442"
