busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd,동
2022-03-17,2022,3,17,1102058,2783,3,0,10,0,장충동
2022-03-17,2022,3,17,1102057,3099,3,0,9,0,필동
2022-03-17,2022,3,17,1102055,18364,3,0,111,0,명동
2022-03-17,2022,3,17,1102072,2325,3,0,23,0,청구동
2022-03-17,2022,3,17,1102071,3573,3,0,17,0,약수동
2022-03-17,2022,3,17,1102070,3327,3,0,13,0,다산동
2022-03-17,2022,3,17,1102069,4053,3,0,36,0,신당동
2022-03-17,2022,3,17,1102067,3243,3,0,19,0,황학동
2022-03-17,2022,3,17,1102065,5284,3,0,15,0,신당5동
2022-03-17,2022,3,17,1102060,3623,3,0,34,0,을지로동
2022-03-18,2022,3,18,1102073,1194,4,0,19,0,동화동
2022-03-18,2022,3,18,1102068,4342,4,0,21,0,중림동
2022-03-18,2022,3,18,1102054,26150,4,0,343,0,회현동
2022-03-18,2022,3,18,1102059,11076,4,0,236,0,광희동
2022-03-18,2022,3,18,1102052,25568,4,0,167,0,소공동
2022-03-18,2022,3,18,1102058,2823,4,0,15,0,장충동
2022-03-18,2022,3,18,1102057,3253,4,0,24,0,필동
2022-03-18,2022,3,18,1102072,2279,4,0,27,0,청구동
2022-03-18,2022,3,18,1102071,3534,4,0,34,0,약수동
2022-03-18,2022,3,18,1102070,3453,4,0,17,0,다산동
2022-03-18,2022,3,18,1102069,4042,4,0,41,0,신당동
2022-03-18,2022,3,18,1102067,3341,4,0,19,0,황학동
2022-03-18,2022,3,18,1102065,5383,4,0,30,0,신당5동
2022-03-18,2022,3,18,1102060,3771,4,0,54,0,을지로동
2022-03-18,2022,3,18,1102055,18362,4,0,204,0,명동
2022-03-19,2022,3,19,1102068,2641,5,0,14,1,중림동
2022-03-19,2022,3,19,1102073,771,5,0,14,1,동화동
2022-03-19,2022,3,19,1102059,7750,5,0,112,1,광희동
2022-03-19,2022,3,19,1102054,16996,5,0,231,1,회현동
2022-03-19,2022,3,19,1102052,14450,5,0,114,1,소공동
2022-03-19,2022,3,19,1102058,2592,5,0,7,1,장충동
2022-03-19,2022,3,19,1102057,1730,5,0,14,1,필동
2022-03-19,2022,3,19,1102072,1545,5,0,18,1,청구동
2022-03-19,2022,3,19,1102071,2293,5,0,16,1,약수동
2022-03-19,2022,3,19,1102070,2096,5,0,19,1,다산동
2022-03-19,2022,3,19,1102069,2231,5,0,11,1,신당동
2022-03-19,2022,3,19,1102067,2375,5,0,18,1,황학동
2022-03-19,2022,3,19,1102065,3925,5,0,39,1,신당5동
2022-03-19,2022,3,19,1102060,2284,5,0,41,1,을지로동
2022-03-19,2022,3,19,1102055,10456,5,0,156,1,명동
2022-03-20,2022,3,20,1102073,599,6,0,5,1,동화동
2022-03-20,2022,3,20,1102068,2064,6,0,12,1,중림동
2022-03-20,2022,3,20,1102059,6697,6,0,91,1,광희동
2022-03-20,2022,3,20,1102054,14500,6,0,185,1,회현동
2022-03-20,2022,3,20,1102052,11814,6,0,72,1,소공동
2022-03-20,2022,3,20,1102058,2653,6,0,4,1,장충동
2022-03-20,2022,3,20,1102057,1693,6,0,8,1,필동
2022-03-20,2022,3,20,1102072,1208,6,0,7,1,청구동
2022-03-20,2022,3,20,1102071,1749,6,0,7,1,약수동
2022-03-20,2022,3,20,1102070,1643,6,0,3,1,다산동
2022-03-20,2022,3,20,1102069,1578,6,0,20,1,신당동
2022-03-20,2022,3,20,1102067,1988,6,0,6,1,황학동
2022-03-20,2022,3,20,1102065,3012,6,0,16,1,신당5동
2022-03-20,2022,3,20,1102060,1434,6,0,16,1,을지로동
2022-03-20,2022,3,20,1102055,9154,6,0,56,1,명동
2022-03-21,2022,3,21,1102073,1139,0,0,9,0,동화동
2022-03-21,2022,3,21,1102068,4410,0,0,18,0,중림동
2022-03-21,2022,3,21,1102059,10353,0,0,126,0,광희동
2022-03-21,2022,3,21,1102054,25330,0,0,193,0,회현동
2022-03-21,2022,3,21,1102052,25908,0,0,116,0,소공동
2022-03-21,2022,3,21,1102058,2641,0,0,6,0,장충동
2022-03-21,2022,3,21,1102057,3101,0,0,15,0,필동
2022-03-21,2022,3,21,1102055,18734,0,0,101,0,명동
2022-03-21,2022,3,21,1102072,2284,0,0,16,0,청구동
2022-03-21,2022,3,21,1102071,3553,0,0,11,0,약수동
2022-03-21,2022,3,21,1102070,3403,0,0,14,0,다산동
2022-03-21,2022,3,21,1102069,3928,0,0,35,0,신당동
2022-03-21,2022,3,21,1102065,5342,0,0,21,0,신당5동
2022-03-21,2022,3,21,1102060,3643,0,0,37,0,을지로동
2022-03-21,2022,3,21,1102067,3319,0,0,14,0,황학동
2022-03-22,2022,3,22,1102073,1186,1,0,11,0,동화동
2022-03-22,2022,3,22,1102068,4226,1,0,10,0,중림동
2022-03-22,2022,3,22,1102054,25907,1,0,243,0,회현동
2022-03-22,2022,3,22,1102059,10878,1,0,152,0,광희동
2022-03-22,2022,3,22,1102052,26822,1,0,125,0,소공동
2022-03-22,2022,3,22,1102058,2933,1,0,13,0,장충동
2022-03-22,2022,3,22,1102057,3243,1,0,23,0,필동
2022-03-22,2022,3,22,1102072,2308,1,0,27,0,청구동
2022-03-22,2022,3,22,1102071,3606,1,0,16,0,약수동
2022-03-22,2022,3,22,1102070,3549,1,0,8,0,다산동
2022-03-22,2022,3,22,1102069,4028,1,0,31,0,신당동
2022-03-22,2022,3,22,1102067,3299,1,0,12,0,황학동
2022-03-22,2022,3,22,1102065,5418,1,0,30,0,신당5동
2022-03-22,2022,3,22,1102060,3799,1,0,33,0,을지로동
2022-03-22,2022,3,22,1102055,19257,1,0,126,0,명동
